##役職,,名前,,写真,,期間,,homepage,,
特任教授,,Shlomo Havlin 特任教授,,havlin.gif,,R4.4.1～R7.3.31 WRH,,,,
特任教授,,Henrik Jeldtoft Jensen 特任教授,,jensen.gif,,R4.4.1～R7.3.31 WRH,,,,
特任教授,,迫田 元 特任講師,,GenSakoda_2023.jpg,,R5.4.1～R7.3.31 ソニーデータ駆動型世界戦略共同研究講座,,,,
特任教授,,尾﨑 順一 特任助教,,ozaki.jpg,,H28.10.1～R1.3.31　ポスト「京」萌芽的課題,,,,
特任教授,,高安 秀樹 特任教授,,takayasu_hideki.jpg,,H27.1.1～R5.3.31 帝国データバンク先端データ解析共同研究講座<br>R5.4.1～R6.12.31 ソニーデータ駆動型世界戦略共同研究講座,,,,
特任准教授,,山中 卓 特任准教授,,yamanaka.jpg,,H30.9.1～R5.3.31 帝国データバンク先端データ解析共同研究講座,,,,
特任教授,,伊藤 隆敏 特任教授,,Ito_Takatoshi.jpg,,R2.9.1～R4.3.31 WRHI,,,,
特定教授,,Vittoria Colizza 特定教授,,colizza_full_trim.jpg,,R2.9.1～R4.3.31 WRHI,,,,
特定准教授,,Paul Expert 特定准教授,,Paul_Expert.jpg,,R2.9.1～R4.3.31 WRHI,,,,
特任教授,,H. Eugene Stanley 特任教授,,Stanley_orig.jpg,,H30.1.9～R2.3.31 WRHI,,,,
特任教授,,Didier Sornette 特任教授,,sornette.gif,,H28.11.23～R4.3.31 WRHI,,,,
